ID,E1,A2,C3R,N4R,O5R,E6,A7,C8R,N9R,O10,E11R,A12R,C13,N14,O15,E16R,A17R,C18,N19,O20,E21,A22R,C23R,N24R,O25R,E26R,A27,C28R,N29R,O30R,E31R,A32,C33,N34,O35,E36R,A37R,C38,N39,O40,E41,A42R,C43,N44R,O45R,E46,A47R,C48R,N49R,O50R,E51R,A52,C53,N54,O55R,E56,A57,C58R,N59,O60
383,1,4,5,5,2,2,5,4,4,5,4,2,4,1,4,5,4,4,2,4,2,1,5,4,2,5,4,4,5,1,5,4,2,1,5,2,2,4,1,5,1,2,2,5,1,1,2,4,4,5,4,4,4,2,2,2,4,2,1,4
384,1,5,4,3,1,2,5,4,2,5,4,2,5,4,5,4,1,2,4,5,1,1,5,3,4,2,5,4,2,1,4,4,2,5,5,5,3,2,2,5,2,4,5,3,1,2,1,2,1,2,3,5,2,4,1,2,4,4,4,5
385,5,5,1,5,1,5,5,1,5,5,3,1,5,1,5,5,1,4,1,5,5,1,1,5,1,1,4,1,5,1,2,5,5,1,5,1,1,5,1,5,4,2,5,5,1,4,1,1,5,1,1,5,5,1,1,4,5,1,1,5
386,1,2,5,1,2,2,4,5,1,4,2,4,2,5,4,5,4,1,4,5,1,4,5,1,2,1,1,5,1,2,5,2,1,5,1,5,5,1,5,2,1,4,1,1,2,1,5,5,1,5,5,4,1,5,2,1,2,5,5,2
387,2,2,4,3,4,2,4,5,2,3,4,5,4,3,3,5,5,5,4,5,2,1,5,2,3,4,2,4,2,3,5,4,2,5,5,4,2,4,4,5,2,2,4,2,1,4,4,4,2,1,4,4,4,4,4,2,3,4,3,3
388,2,4,2,2,4,4,4,3,4,4,3,5,3,1,2,4,3,5,4,2,2,1,2,5,2,4,4,1,4,4,4,3,5,5,4,4,4,4,1,4,4,5,3,4,4,1,4,1,2,2,4,4,4,1,3,4,2,1,1,1
389,2,5,2,1,2,1,4,4,2,2,4,4,4,5,2,5,2,5,5,4,1,1,4,2,3,2,4,2,1,2,5,4,4,5,4,4,4,4,5,5,2,5,5,1,1,2,5,1,1,4,5,4,5,5,4,2,2,2,5,2
390,2,5,1,3,4,1,5,2,1,3,4,3,5,5,1,5,2,5,2,3,1,1,4,3,2,1,5,4,2,4,5,5,5,4,4,4,1,4,5,5,3,4,5,4,5,2,1,1,2,4,4,5,5,4,3,3,2,2,4,2
391,2,4,2,3,2,1,4,2,3,4,4,4,5,5,3,5,3,5,5,4,1,2,4,1,3,3,4,4,1,2,5,4,3,5,5,2,4,4,5,3,2,5,4,1,2,1,5,2,1,1,4,4,5,5,2,2,3,4,5,3
392,4,5,4,4,1,3,5,2,4,4,4,2,2,3,4,4,1,4,2,5,4,1,3,2,1,2,5,4,4,1,4,5,2,5,5,3,1,4,5,4,1,5,3,4,1,2,1,2,1,1,1,4,5,4,1,2,3,4,2,4
393,4,4,4,2,2,4,5,4,4,5,2,3,5,4,4,5,1,4,5,4,2,4,5,2,3,1,4,4,2,1,5,4,2,5,4,4,4,4,5,2,4,4,5,4,2,4,4,2,1,2,4,5,4,4,3,4,4,4,4,4
394,2,4,2,3,4,2,5,2,3,4,3,2,4,1,4,4,4,3,2,4,2,1,2,3,2,3,3,2,4,2,4,4,3,4,4,3,2,5,3,4,3,3,5,4,2,2,1,2,3,3,4,4,4,3,4,2,4,2,2,3
395,4,5,2,3,1,4,5,2,5,5,2,4,5,1,5,3,1,4,4,5,4,2,2,5,1,1,4,2,3,1,2,3,4,1,5,4,4,5,1,4,3,4,5,5,1,2,4,2,4,1,3,5,4,1,1,2,3,4,2,5
396,4,5,3,4,2,3,4,2,4,4,2,3,5,1,3,2,5,4,2,5,4,1,1,5,1,1,4,4,5,1,3,4,2,2,5,3,1,5,2,5,5,2,5,5,1,5,1,4,3,2,2,4,4,2,2,5,4,3,1,5
397,4,4,5,4,2,4,4,4,4,5,5,2,3,5,4,5,1,2,4,5,2,1,4,4,1,3,4,4,3,2,4,4,1,4,4,2,2,4,5,4,1,2,3,4,2,1,5,5,4,2,3,5,4,5,1,3,4,4,3,4
398,2,5,5,2,1,2,5,5,1,5,2,2,4,2,5,5,1,2,4,5,1,4,5,1,1,5,2,4,4,1,5,5,1,5,5,1,4,4,4,5,2,4,4,4,1,4,4,4,1,1,4,5,4,5,1,5,4,5,2,5
399,1,5,4,3,4,1,5,2,4,5,3,2,4,4,3,5,1,3,4,4,1,1,3,3,2,2,5,3,3,3,4,4,2,4,4,4,2,3,4,4,2,3,4,3,2,2,1,2,1,1,3,5,3,4,2,3,3,4,4,3
400,5,5,1,5,5,4,5,5,5,4,1,1,5,1,4,4,5,5,4,5,4,1,3,5,1,2,5,1,5,1,4,5,5,1,5,2,1,5,1,5,5,2,5,4,1,2,1,1,2,1,2,5,5,1,1,4,4,2,5,4
401,5,5,2,3,2,4,5,3,5,5,2,3,5,4,3,1,1,5,4,5,4,2,3,5,2,1,5,3,2,2,1,5,4,4,4,1,1,4,2,5,5,3,5,3,2,5,1,2,3,1,5,5,3,1,1,5,5,1,3,3
402,3,4,5,2,4,4,4,3,4,4,2,2,4,3,4,4,4,2,3,4,4,2,4,3,4,4,4,3,2,4,4,4,1,4,4,3,3,4,3,5,2,3,4,3,2,2,2,4,2,2,2,4,4,4,2,3,4,4,3,4
403,2,4,4,2,2,2,4,5,1,5,4,4,1,5,4,5,2,4,4,4,2,4,5,1,1,4,4,5,1,2,5,4,2,5,4,3,4,2,4,5,2,5,1,4,1,2,4,2,2,1,2,4,2,4,1,2,3,5,2,4
404,1,4,4,1,4,1,5,3,2,4,4,4,4,5,2,5,2,3,5,2,1,2,4,1,5,5,2,3,2,4,5,2,2,5,2,5,4,4,4,3,2,4,2,2,4,1,4,4,1,2,5,4,4,5,4,2,2,2,4,2
405,2,5,4,5,4,2,5,4,5,5,4,2,4,2,2,4,1,2,2,5,2,1,4,2,4,2,5,4,5,2,5,5,2,2,4,4,2,4,2,2,4,2,5,5,1,2,2,4,4,2,4,5,4,2,2,2,4,2,1,2
406,4,5,4,4,1,5,4,2,5,5,1,3,4,2,5,4,2,3,4,5,3,2,1,5,2,3,2,4,4,1,3,5,2,2,5,1,5,5,2,5,4,5,4,4,1,4,4,1,2,1,4,4,5,2,1,5,2,4,3,4
407,1,5,4,1,1,3,5,1,5,4,1,1,1,2,5,5,5,5,5,5,4,1,1,4,1,1,5,1,3,1,5,5,5,5,5,5,1,5,5,5,5,2,5,5,1,5,1,1,1,1,1,5,5,3,1,5,5,4,4,4
408,5,5,1,3,5,2,5,1,5,5,2,1,5,3,5,4,5,5,4,4,3,1,1,5,3,3,5,1,4,3,5,5,4,5,5,2,1,5,4,5,4,5,5,4,1,2,1,1,3,3,4,5,5,5,3,5,4,5,3,4
409,4,5,2,4,2,4,5,4,5,5,2,3,4,2,4,4,5,4,2,4,3,1,4,5,2,4,2,2,4,2,4,3,4,4,4,3,2,4,2,4,2,4,3,4,2,4,2,1,4,2,4,4,4,2,2,3,4,2,2,3
410,5,5,1,5,4,5,5,1,4,5,1,2,5,2,4,1,4,5,1,4,5,2,1,5,1,1,4,1,5,1,1,4,5,5,5,5,2,5,1,4,5,5,4,5,1,5,1,1,2,1,1,5,5,1,1,5,2,1,1,5
411,5,3,5,2,3,5,4,4,2,4,3,4,4,4,2,1,4,4,5,2,4,4,5,3,4,3,4,5,3,4,2,3,2,4,2,3,5,2,4,2,5,3,3,2,5,5,2,5,4,4,3,2,2,4,4,4,4,5,4,3
412,3,5,4,2,1,4,5,4,3,5,3,3,5,4,4,4,1,3,4,5,1,2,4,4,1,1,2,4,2,1,5,5,2,4,5,2,1,4,3,5,4,4,5,2,1,3,2,3,2,1,4,5,5,3,1,4,3,3,5,5
413,2,5,3,2,1,2,5,3,4,5,2,2,5,4,3,4,1,3,4,5,2,2,3,4,1,2,4,2,2,2,4,5,3,4,4,3,2,4,4,5,3,2,5,3,2,2,2,3,2,1,4,5,5,4,2,3,4,2,4,3
414,2,4,4,3,4,2,4,5,2,2,4,4,4,4,2,4,2,3,2,5,4,2,4,2,4,5,2,4,2,4,5,4,2,4,4,2,4,4,5,4,1,4,4,2,4,2,1,4,1,2,2,4,2,4,4,2,1,4,4,2
415,4,5,4,4,4,2,5,1,5,5,1,1,5,2,4,1,1,4,4,5,3,1,1,5,1,4,5,4,4,2,2,5,1,5,5,4,1,4,2,5,4,2,5,4,1,4,1,2,1,1,2,5,4,4,2,5,5,4,5,5
416,1,5,4,3,1,1,5,1,3,5,4,2,3,4,5,5,1,4,4,5,1,1,5,4,1,4,5,2,2,1,5,5,1,4,5,5,1,2,5,5,1,4,2,4,1,1,2,4,2,2,5,5,4,5,1,2,4,4,2,4
417,4,4,2,3,3,3,5,2,3,4,5,2,5,2,5,4,4,4,2,2,3,1,1,4,3,2,5,2,5,2,4,4,5,2,4,4,2,5,1,4,4,1,4,5,2,4,2,2,2,1,2,4,5,2,5,4,4,2,2,5
418,1,4,2,5,5,2,5,4,3,4,5,4,5,1,3,5,4,5,1,1,4,1,2,5,1,4,4,4,5,3,5,4,4,2,1,4,2,5,4,4,1,2,5,4,2,1,4,2,1,4,3,5,4,4,2,1,5,4,1,4
419,2,5,4,2,1,1,4,3,4,4,2,1,5,2,2,5,1,2,1,5,2,2,4,4,4,4,5,2,4,1,5,4,2,4,5,5,2,3,4,2,4,4,5,2,3,2,1,3,2,1,4,4,4,4,2,4,4,4,3,3
420,5,5,1,5,1,3,5,1,5,5,1,1,5,1,5,4,1,5,2,5,4,1,1,5,1,1,5,1,5,1,1,5,5,2,5,2,1,5,1,5,5,1,5,5,1,4,1,1,5,1,1,5,5,4,1,5,5,1,1,5
421,2,5,3,4,1,4,5,4,2,5,3,4,5,4,5,2,1,4,5,5,5,2,4,4,1,4,2,1,5,1,5,5,4,5,4,3,3,5,5,5,2,4,5,5,1,2,4,1,1,2,2,5,5,4,1,2,2,1,2,5
422,5,5,2,4,1,4,5,1,4,5,2,4,5,1,5,1,5,4,2,5,4,1,2,4,1,1,5,2,5,2,1,5,4,4,5,1,1,5,2,4,5,2,5,5,1,5,1,1,4,1,2,5,5,2,1,5,4,2,2,5
423,4,4,2,3,3,1,4,2,3,4,2,2,4,2,3,5,4,3,3,4,1,1,3,4,3,3,4,2,3,2,5,4,4,3,2,4,1,4,2,3,4,4,3,3,2,2,3,2,3,2,3,4,3,2,2,4,3,1,3,3
424,2,3,4,4,3,4,4,4,2,5,3,3,3,2,4,5,3,4,4,5,2,3,5,4,1,4,3,4,4,2,4,3,4,4,4,3,4,4,4,4,2,4,2,4,2,2,4,2,2,1,4,4,2,4,2,2,2,4,3,2
425,3,5,2,2,5,4,5,1,5,5,2,1,5,2,2,4,5,4,5,5,2,1,2,4,2,4,5,1,5,1,1,5,5,5,5,2,1,5,1,5,4,4,4,4,1,2,1,1,1,2,4,5,5,2,1,4,4,4,2,5
426,2,4,1,5,4,5,5,1,5,5,1,4,5,2,5,4,4,5,2,4,5,1,1,5,1,2,4,2,5,1,4,4,5,1,4,4,3,5,1,5,5,5,5,5,1,3,4,1,4,2,1,5,5,1,2,5,3,1,1,5
427,2,4,4,2,2,3,2,2,2,2,3,4,2,2,3,2,4,3,4,5,2,3,4,2,5,4,5,3,2,1,2,4,4,3,4,2,2,2,1,5,4,2,4,3,3,4,2,2,1,2,4,4,5,2,4,4,5,4,2,3
428,1,4,2,5,2,2,5,4,2,5,5,2,5,1,5,5,5,3,3,4,2,1,3,5,1,4,1,1,4,2,5,5,3,3,4,4,1,5,2,5,1,5,4,5,3,1,2,2,5,4,3,2,4,2,2,2,1,2,1,5
429,1,5,4,2,3,3,5,5,3,3,3,3,3,5,3,5,5,3,4,5,1,1,4,3,3,3,3,3,5,3,3,3,5,5,5,3,3,3,3,3,3,3,3,3,2,1,3,3,1,4,5,3,3,5,5,4,5,5,3,5
430,5,5,4,4,2,1,5,4,5,4,2,2,5,2,4,2,1,4,4,4,3,1,4,2,4,4,4,2,4,2,2,4,2,2,4,3,1,4,2,4,3,2,5,4,2,4,1,3,4,2,4,5,4,2,3,4,4,2,2,3
431,1,4,1,5,1,4,4,1,4,5,4,4,5,2,4,4,4,5,2,5,4,1,1,5,1,3,2,2,4,3,4,4,5,2,5,4,4,5,2,5,3,4,5,4,2,3,4,1,3,2,3,4,5,3,2,3,2,3,2,4
432,5,5,4,4,1,5,5,2,4,5,2,5,5,2,5,2,1,4,4,4,4,4,4,5,1,1,4,4,5,1,4,4,2,5,5,1,1,4,4,5,5,2,4,5,1,5,1,1,4,4,1,5,5,4,1,5,5,5,5,5
433,4,4,1,5,1,4,5,1,5,5,1,1,5,1,5,4,1,5,2,4,4,1,1,5,1,1,5,1,5,1,2,4,5,1,4,1,2,5,1,5,5,2,5,5,1,2,2,1,5,1,2,5,5,1,1,5,5,1,1,5
434,1,4,3,2,4,1,4,3,3,4,2,3,4,2,3,5,2,4,4,4,2,2,3,2,3,4,3,3,3,4,5,4,4,3,3,4,2,3,3,3,2,3,4,3,2,1,3,1,2,3,4,4,4,3,3,2,3,4,3,2
435,3,4,1,5,1,3,5,1,5,5,1,1,5,1,5,3,1,4,1,5,4,1,1,5,1,1,3,1,5,1,4,5,3,2,5,2,1,5,1,5,5,3,5,5,1,3,1,1,5,1,3,5,5,1,1,5,3,1,1,5
436,3,5,4,2,4,1,5,4,4,4,1,2,5,3,2,3,5,4,4,2,1,1,5,4,5,3,3,4,2,4,4,4,2,5,3,4,1,3,2,1,3,3,5,3,2,3,3,4,2,4,4,5,4,2,5,4,4,2,4,2
437,2,5,1,5,2,1,5,4,4,4,2,4,5,1,4,4,1,5,5,5,2,1,1,2,3,4,4,4,4,2,5,5,4,5,5,3,1,4,5,3,2,4,4,4,1,2,2,1,1,1,4,5,5,4,2,5,4,4,2,4
438,1,5,2,1,1,4,4,2,1,5,1,4,4,4,4,5,2,5,5,5,4,4,5,2,1,4,2,4,1,2,5,4,2,5,5,2,4,2,4,5,2,5,4,1,2,4,4,4,2,1,4,4,4,5,2,5,2,4,4,4
439,5,5,5,5,2,4,5,4,5,5,2,2,4,1,4,1,1,2,1,4,5,1,4,5,1,4,5,4,4,1,1,5,1,2,4,1,1,4,1,5,4,5,4,4,1,5,1,2,4,2,1,5,5,1,2,4,2,2,4,5
440,4,4,2,5,2,4,5,2,5,5,1,1,5,1,4,5,1,4,2,3,4,1,2,5,2,2,2,2,5,2,2,3,4,2,4,2,2,4,1,5,4,2,4,5,2,2,2,2,4,2,1,4,4,1,1,3,3,1,1,3
441,4,5,5,2,2,4,5,3,3,4,1,4,4,2,3,4,1,1,4,4,5,1,1,4,2,5,1,4,3,2,5,4,2,5,4,2,2,4,2,4,1,5,2,2,5,4,1,4,1,5,1,5,5,2,4,5,2,3,4,4
442,4,4,1,4,2,2,5,2,3,5,4,2,5,4,5,4,1,5,4,4,2,1,4,4,2,4,3,1,4,2,4,4,4,5,4,4,2,4,5,5,2,4,5,4,1,4,2,1,2,2,4,5,4,5,2,2,4,2,2,4
443,3,5,1,2,4,1,5,1,5,4,1,1,5,1,3,2,1,5,2,2,1,1,1,3,5,5,4,1,2,5,1,5,5,5,4,5,1,5,1,1,1,4,5,4,1,5,1,1,1,5,5,5,5,1,1,4,4,1,3,2
444,2,5,2,1,5,1,5,4,2,4,3,2,4,4,1,5,5,4,4,3,1,1,4,3,2,4,5,3,2,5,5,5,4,5,3,3,1,3,4,3,2,3,4,2,3,2,2,1,1,2,5,5,4,4,3,2,4,4,5,1
445,4,5,1,5,1,3,5,1,5,5,3,1,5,1,5,4,1,4,1,5,3,1,1,4,1,3,4,1,5,1,3,5,5,1,5,2,1,5,1,5,2,2,5,5,1,3,1,1,4,1,2,5,5,1,1,3,4,1,1,5
446,4,4,1,2,2,5,5,1,4,5,2,4,5,4,4,2,1,5,5,4,4,4,4,5,1,4,2,1,4,2,4,4,4,4,4,2,4,5,4,2,2,1,5,4,1,5,2,2,2,4,2,4,5,4,1,2,4,2,4,4
447,4,4,5,2,2,4,4,4,2,5,2,4,3,4,4,2,1,4,5,5,4,5,5,2,2,2,2,4,2,1,4,2,1,4,5,2,5,4,5,4,2,5,3,2,2,2,4,3,1,1,4,2,4,2,1,2,4,4,5,4
448,4,4,2,4,4,1,5,2,5,5,2,4,5,4,4,4,4,4,2,4,1,2,4,5,1,2,4,2,4,1,4,4,5,4,5,2,1,4,2,4,2,4,5,4,1,2,4,1,2,1,4,5,4,4,2,4,4,4,1,4
449,2,3,2,4,2,4,4,1,4,4,2,2,4,2,4,4,2,4,4,4,2,2,2,4,2,2,4,2,4,2,4,3,4,1,4,2,2,4,4,4,4,3,4,4,2,2,3,2,4,3,3,4,4,2,2,2,3,2,2,4
450,2,5,4,3,2,2,5,4,3,3,4,1,4,2,4,4,1,3,4,4,3,1,4,4,2,4,4,3,3,1,4,4,3,4,4,3,1,4,3,3,2,2,4,4,2,2,1,3,2,3,3,5,4,3,2,2,4,3,3,4
451,4,5,1,4,2,1,5,2,4,4,1,4,5,2,4,4,2,4,2,5,2,1,2,4,2,2,4,2,4,2,4,4,5,4,5,3,1,4,2,4,3,4,4,4,1,3,1,1,2,1,4,5,5,2,1,4,3,2,2,4
452,2,4,1,4,4,3,5,4,3,5,3,3,4,2,4,4,3,4,3,2,2,2,4,4,1,2,2,2,5,3,4,4,4,4,2,3,2,4,1,4,2,3,4,4,3,2,3,2,3,4,3,5,3,2,1,2,3,1,1,3
453,2,4,1,2,5,4,4,1,2,5,3,4,5,4,4,5,3,4,4,4,4,3,1,3,2,3,2,1,2,1,5,4,4,5,4,2,4,5,5,5,2,4,5,2,2,4,4,1,1,4,3,4,5,5,1,3,2,4,4,4
454,3,5,3,3,5,1,5,1,5,5,5,1,5,4,1,5,1,1,5,1,5,1,5,4,1,1,5,5,2,5,5,5,1,5,1,1,4,5,4,5,5,5,5,4,3,2,1,1,1,5,1,5,5,5,1,1,5,5,4,1
455,4,5,2,4,1,3,5,1,4,5,1,1,5,2,5,5,1,5,4,5,1,2,2,4,1,1,5,1,4,1,5,5,5,5,5,2,1,4,4,5,4,1,5,3,1,4,1,2,1,1,3,5,5,4,1,5,5,1,4,5
456,2,5,1,5,3,1,5,2,5,2,2,2,5,1,2,4,1,5,1,3,2,1,2,5,3,2,5,1,5,3,4,4,5,1,4,4,1,5,1,1,1,4,5,5,2,2,1,1,4,4,4,5,5,1,3,2,3,1,1,3
457,1,5,2,1,1,1,5,2,1,5,2,1,5,4,4,4,1,5,5,5,1,1,2,2,1,2,5,4,1,1,5,5,4,5,5,5,1,5,5,4,3,1,5,1,1,1,1,2,1,1,5,5,5,5,2,3,5,4,4,4
458,1,5,4,1,1,1,5,2,1,5,5,4,3,4,5,5,1,4,5,5,2,4,5,1,2,5,2,2,2,1,5,4,2,5,5,4,4,4,5,4,1,4,3,2,2,1,2,2,1,1,4,5,4,5,2,1,1,2,3,4
459,1,2,1,1,5,4,5,4,1,2,5,5,5,4,2,2,4,5,5,2,1,2,4,1,1,5,1,2,1,4,4,2,5,5,2,5,2,5,5,5,1,5,5,1,4,2,4,1,1,4,5,5,5,5,4,1,1,2,5,2
460,3,3,1,4,1,5,5,1,4,5,2,4,5,1,4,4,2,5,3,5,5,3,2,5,1,4,4,1,5,3,4,4,4,2,5,2,1,5,1,4,4,3,5,5,1,4,2,1,4,1,2,5,5,1,1,3,3,1,1,4
461,4,5,4,2,2,2,5,4,4,4,1,4,5,2,4,4,1,4,4,5,5,2,4,2,1,2,4,2,2,2,4,4,4,5,5,2,2,4,4,5,4,4,4,2,2,4,2,2,1,2,2,5,4,1,2,4,2,4,5,2
462,1,5,1,5,1,3,5,1,5,5,1,1,5,1,5,5,1,5,1,5,5,1,1,5,1,1,1,1,5,1,1,5,5,1,5,1,1,5,1,5,5,5,5,5,1,1,1,1,5,1,1,5,5,1,1,5,1,1,1,5
463,2,5,2,3,4,3,5,2,3,4,2,2,3,4,4,5,1,3,3,4,1,1,3,3,4,2,4,4,2,2,5,3,4,5,2,2,1,2,4,5,4,3,3,3,2,1,1,1,1,2,1,5,4,4,3,4,4,1,5,3
464,2,4,4,2,1,4,4,4,5,5,4,1,5,3,5,4,1,5,4,5,4,2,5,5,1,4,4,4,2,1,5,5,5,4,5,4,2,2,4,5,2,4,5,4,1,1,4,2,2,4,2,4,4,4,1,4,4,4,4,5
465,2,4,1,3,2,4,4,2,4,5,4,4,4,2,2,5,2,5,3,4,4,2,2,2,1,4,3,4,4,3,5,5,5,3,4,4,4,5,2,4,4,4,4,4,2,1,4,1,2,2,1,4,5,2,4,4,1,1,1,1
466,2,3,1,5,4,5,5,1,4,5,3,3,5,1,5,4,2,5,2,2,4,1,1,4,1,1,3,1,5,2,4,4,5,1,3,3,2,5,2,5,4,4,5,5,2,1,3,1,1,5,1,4,5,3,1,2,2,1,1,5
467,2,5,1,4,2,2,5,1,4,5,2,4,4,2,4,5,1,5,4,4,1,1,2,4,2,2,4,2,3,2,4,5,5,2,4,5,1,5,4,5,4,5,5,4,1,1,1,1,2,2,3,5,5,4,3,3,4,2,2,3
468,3,5,1,1,4,1,5,1,4,5,2,1,5,1,2,5,1,5,4,4,1,1,1,5,2,4,5,1,5,5,3,3,4,4,5,4,1,5,1,4,3,4,5,4,1,2,1,1,2,1,5,5,5,1,1,3,5,1,1,2
469,3,4,1,4,3,1,5,2,5,3,4,1,5,1,3,4,1,4,1,3,1,1,1,5,3,4,5,1,5,3,4,5,5,2,3,4,1,5,1,3,3,1,5,5,2,3,1,1,4,3,5,5,5,1,3,3,5,1,1,3
470,1,5,4,5,2,1,5,1,4,4,5,1,5,1,4,5,1,4,1,4,2,1,2,4,3,1,5,4,5,4,5,5,4,5,4,5,1,5,5,1,4,5,5,5,1,1,1,1,4,2,4,5,5,4,4,1,3,1,1,2
471,5,4,1,5,1,5,5,1,4,5,1,5,5,4,5,1,4,5,5,5,5,2,4,5,1,1,5,2,4,1,1,5,2,4,5,1,4,5,4,5,5,4,5,5,1,5,4,2,4,1,1,5,5,4,1,5,2,4,2,5
472,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,5,1,1,5,1,5,5,1,5,5,1,5,1,1,5,2,1,5,5,1,1,5,5,1,1,5
473,2,5,1,3,2,2,5,1,2,5,2,2,4,2,4,4,1,4,4,3,2,2,2,4,2,2,3,2,3,2,4,4,4,4,4,3,2,4,3,4,4,2,5,4,2,2,2,2,2,2,2,4,4,3,2,2,4,2,2,3
474,4,5,4,2,1,4,5,3,2,4,1,1,5,1,4,2,1,4,4,5,4,1,4,5,2,2,2,1,3,1,2,4,4,4,5,2,1,4,2,4,4,2,5,5,1,4,1,1,1,2,2,5,5,2,2,4,4,1,1,4
475,1,4,1,2,1,1,4,4,1,4,4,2,2,2,4,5,1,4,4,5,1,1,4,2,2,4,5,4,2,1,5,4,4,5,5,4,2,4,4,4,1,4,2,2,1,1,2,2,1,1,4,4,2,4,1,2,4,2,4,4
476,4,5,1,3,2,4,4,1,4,5,3,4,4,4,5,3,4,5,5,4,2,1,2,3,2,2,4,4,2,2,4,5,5,5,5,2,3,5,5,5,4,4,3,3,2,4,4,1,2,2,4,5,5,5,2,3,2,3,5,4
477,1,5,1,4,4,5,4,1,4,4,4,4,5,2,2,5,2,5,4,3,3,1,2,5,2,4,4,3,3,4,5,4,5,4,3,5,4,5,3,5,2,4,5,3,2,1,2,1,3,4,3,3,5,3,4,2,2,3,3,3
478,5,4,4,3,3,5,4,5,4,5,2,2,3,5,3,1,1,1,2,3,5,2,3,4,2,2,3,4,3,3,1,4,2,4,3,2,4,5,3,4,3,4,4,3,4,5,3,3,2,4,1,4,4,4,3,2,3,5,2,3
479,2,5,1,1,2,1,5,1,4,3,2,3,5,4,5,5,1,5,4,5,1,1,1,5,3,4,5,3,2,1,5,5,5,4,5,3,1,5,4,3,3,3,5,2,1,2,2,1,2,2,4,5,4,4,3,3,4,1,4,4
480,5,3,1,4,5,4,5,2,2,3,1,4,5,3,4,2,3,4,4,5,5,3,4,5,5,3,2,2,4,3,2,3,5,5,4,3,4,4,2,1,3,4,4,4,3,4,2,1,3,5,2,4,5,2,5,4,5,2,1,3
481,2,5,2,4,2,4,5,2,4,5,2,2,5,1,3,5,1,4,4,5,2,1,2,4,1,2,5,1,4,2,5,5,4,2,5,2,1,4,2,5,2,1,5,5,1,2,1,1,4,1,3,5,5,4,1,4,4,1,2,4
482,2,5,1,2,4,1,5,1,4,3,2,2,5,4,4,4,5,5,4,4,3,2,1,4,4,2,4,1,4,5,4,5,5,5,4,4,1,5,3,4,2,4,5,4,4,1,1,1,1,4,5,5,5,2,5,2,3,1,2,1
483,5,5,4,5,4,5,5,1,5,5,1,1,5,1,4,2,1,4,1,1,4,1,1,5,1,1,5,1,5,1,2,5,5,2,4,2,1,4,1,4,4,2,5,5,2,5,1,1,4,4,2,5,5,1,4,4,5,1,1,4
484,2,5,4,4,2,4,5,3,4,5,4,2,4,4,5,5,4,2,3,5,2,1,2,4,1,4,5,4,4,1,5,5,2,1,5,2,2,4,4,5,2,3,3,4,1,1,2,4,4,2,2,4,4,4,1,3,4,4,2,5
485,2,3,1,4,4,3,4,1,3,4,4,4,5,4,4,4,4,5,4,2,3,2,2,4,2,3,2,2,2,4,4,4,5,4,1,3,3,4,3,4,4,4,5,4,3,2,4,1,2,5,3,4,4,3,4,2,3,2,2,2
486,2,4,2,4,2,2,4,2,4,4,1,4,5,2,4,4,2,4,4,5,4,2,2,4,2,2,4,2,4,2,4,4,5,5,5,4,3,4,4,5,3,2,4,4,2,4,2,2,2,2,4,4,4,2,2,4,4,2,2,4
487,4,4,2,2,5,1,4,4,2,2,4,2,4,2,2,2,2,4,5,2,1,1,5,2,5,4,4,4,2,5,2,4,4,5,2,4,1,4,2,2,2,2,4,4,4,4,2,1,1,5,5,4,4,2,4,2,4,2,4,2
488,2,5,3,4,2,2,5,4,1,5,4,5,5,1,4,5,3,5,4,4,2,1,4,4,1,3,2,1,4,2,5,3,4,3,5,4,2,5,4,5,2,4,5,5,1,3,4,1,2,4,2,5,5,3,1,2,1,1,1,4
489,5,5,2,4,1,4,5,2,4,5,1,2,5,1,4,2,1,5,4,5,4,1,2,4,2,1,4,2,5,1,2,5,4,2,5,2,2,4,1,4,4,2,5,5,2,5,1,1,2,1,1,5,4,1,1,4,4,2,1,4
490,1,5,4,4,1,1,5,1,4,5,1,1,5,2,5,5,1,1,4,5,1,1,1,5,1,1,5,1,4,1,5,5,1,4,5,3,1,5,3,5,5,1,4,4,1,1,1,3,3,1,3,5,5,4,1,5,5,1,1,5
491,5,5,2,2,2,2,4,4,2,5,2,2,4,5,4,2,1,4,4,5,4,2,3,2,4,2,4,3,2,2,2,4,4,4,4,3,2,3,4,4,4,1,3,2,1,4,2,1,1,1,4,5,2,4,1,4,4,4,4,4
492,2,5,4,3,4,2,5,2,3,5,2,2,4,2,2,5,1,4,4,2,2,1,4,3,3,5,3,2,3,5,5,3,2,4,3,4,2,4,4,3,1,4,4,4,4,2,2,3,2,4,5,5,4,4,3,3,2,1,2,1
493,2,5,1,3,2,2,5,1,2,5,3,2,5,4,4,4,2,5,3,5,3,1,4,3,1,2,2,2,3,2,3,5,5,5,5,3,2,4,3,4,3,4,5,4,1,2,2,1,2,1,2,4,5,3,2,3,2,2,3,5
494,2,5,2,2,5,4,5,1,4,4,2,1,4,5,4,4,1,5,4,1,4,1,4,5,5,2,5,4,2,5,2,5,5,4,1,2,1,4,5,2,2,2,5,4,4,4,2,1,1,5,2,5,4,5,4,4,5,4,2,4
495,1,2,2,2,1,3,3,4,3,5,5,4,4,3,4,5,4,5,4,5,3,1,4,2,2,2,3,2,3,2,5,2,4,4,4,3,4,4,4,5,3,4,4,5,1,2,4,3,2,4,3,3,5,4,1,1,2,2,3,4
