ID,E1,A2,C3R,N4R,O5R,E6,A7,C8R,N9R,O10,E11R,A12R,C13,N14,O15,E16R,A17R,C18,N19,O20,E21,A22R,C23R,N24R,O25R,E26R,A27,C28R,N29R,O30R,E31R,A32,C33,N34,O35,E36R,A37R,C38,N39,O40,E41,A42R,C43,N44R,O45R,E46,A47R,C48R,N49R,O50R,E51R,A52,C53,N54,O55R,E56,A57,C58R,N59,O60
35,1,5,2,4,2,1,5,2,2,5,2,3,5,4,3,5,1,5,3,4,2,1,2,1,1,3,4,3,2,2,5,5,5,4,4,5,1,5,5,5,3,4,5,3,1,1,1,5,2,2,4,5,5,5,1,3,3,4,4,3
36,1,2,1,2,1,4,5,2,2,4,5,4,5,4,4,5,4,5,4,4,4,3,2,5,1,2,3,2,3,1,5,4,4,4,4,4,3,5,5,5,1,3,4,3,2,1,4,2,2,4,4,4,4,5,2,1,3,1,3,4
37,5,5,3,4,2,5,5,2,5,5,2,1,3,2,4,2,1,4,2,5,4,3,1,5,1,3,5,2,4,2,1,5,3,1,5,2,4,5,2,5,4,2,4,5,1,5,3,2,1,2,3,3,5,1,1,5,5,4,1,5
38,1,4,2,2,4,2,5,3,3,5,1,3,4,2,3,5,1,5,4,4,1,1,1,2,2,3,4,1,3,1,5,5,4,5,5,3,2,4,4,5,1,4,5,4,1,1,1,2,1,1,5,4,5,4,1,2,2,3,2,2
39,1,4,1,3,1,4,5,1,3,2,4,4,5,3,4,5,1,4,4,5,4,2,2,4,1,2,1,2,3,1,5,4,5,4,5,3,2,5,5,4,1,4,5,4,4,1,1,1,1,1,3,4,5,5,3,2,2,1,3,4
40,2,4,3,4,5,1,5,4,4,4,2,2,4,2,3,5,2,3,2,2,1,1,4,4,5,4,4,4,4,5,5,4,3,2,4,3,1,4,4,1,1,1,4,4,4,1,2,2,3,2,5,4,4,4,4,2,3,2,2,2
41,4,5,2,4,2,3,5,4,4,2,4,1,4,2,4,4,2,4,3,4,2,1,2,2,4,4,4,3,4,4,5,4,3,4,2,3,1,4,2,4,4,3,4,4,3,2,2,2,4,5,4,4,5,2,4,2,4,2,3,1
42,2,4,2,3,2,2,4,4,4,5,2,4,4,2,4,5,2,4,4,5,2,2,2,4,2,2,4,4,4,2,5,4,3,4,4,5,4,4,4,4,4,2,4,4,1,2,3,2,1,2,3,4,3,3,2,4,4,4,4,4
43,2,4,1,2,2,2,4,2,3,5,3,5,5,3,4,2,1,5,5,5,2,4,2,4,1,2,2,1,2,2,5,5,5,5,4,3,4,5,2,5,2,4,5,4,1,4,4,1,1,5,4,2,5,3,2,4,3,1,2,5
44,2,4,1,2,2,4,4,4,2,4,4,5,4,1,2,4,3,4,4,4,1,4,1,4,4,2,4,4,4,4,4,2,5,4,4,2,4,4,1,4,2,4,4,4,2,1,4,2,1,2,4,4,4,1,2,4,2,1,1,4
45,5,5,1,5,1,5,5,1,5,5,1,1,5,1,5,1,1,5,1,5,5,1,1,5,1,1,5,1,5,1,1,5,5,1,4,1,1,5,1,5,5,1,5,1,1,5,1,1,5,1,1,5,5,1,1,5,5,1,1,5
46,4,4,2,5,1,5,4,2,5,5,1,2,5,1,5,2,1,5,2,5,4,2,2,5,1,4,4,4,5,1,2,4,2,2,5,1,2,5,1,5,1,2,4,4,1,5,2,4,5,1,4,4,5,1,1,5,4,4,1,5
47,1,2,4,4,2,4,4,5,1,5,5,5,5,2,2,5,4,2,4,4,4,2,4,4,2,4,4,4,4,4,5,2,2,5,4,4,5,4,2,4,2,4,5,4,2,1,5,4,2,2,2,2,4,2,1,1,2,4,2,2
48,2,3,4,3,2,1,4,4,1,3,4,4,5,5,3,5,3,3,4,4,1,2,4,2,4,4,2,3,3,2,4,3,2,5,4,4,3,4,4,3,2,4,4,3,2,2,3,3,2,2,4,3,4,5,4,2,2,3,4,3
49,1,3,3,3,1,1,5,3,2,5,3,2,5,4,4,5,1,3,5,5,1,1,4,1,2,4,2,3,2,1,5,5,2,5,5,4,1,4,5,5,2,5,5,2,1,1,2,3,3,2,4,5,4,5,1,2,1,2,4,5
50,4,5,2,3,2,1,5,2,4,4,2,1,5,1,4,3,5,3,4,4,2,1,3,4,2,2,4,2,3,3,3,4,4,3,4,3,2,4,2,4,3,2,4,3,2,3,1,1,1,3,3,5,4,4,2,3,4,2,2,3
51,2,5,1,2,1,2,4,2,4,5,2,4,5,4,4,5,1,4,4,5,2,2,2,4,2,2,4,2,2,2,5,4,5,4,4,3,2,5,4,5,3,4,5,2,2,2,2,1,2,2,4,4,5,2,2,4,4,1,4,4
52,4,4,1,5,1,3,5,3,5,5,4,1,5,2,5,5,1,5,4,5,4,1,4,5,1,3,5,1,5,1,4,4,5,1,5,4,1,5,1,4,4,2,4,5,1,4,1,1,2,1,1,5,5,1,1,4,5,1,2,5
53,3,5,1,5,1,1,5,1,5,5,1,1,5,1,5,4,1,5,3,5,2,1,1,5,1,1,5,1,5,1,3,5,5,5,5,2,1,5,1,5,5,1,5,5,1,3,1,1,2,1,4,5,5,1,1,5,5,1,1,5
54,2,5,4,4,1,1,5,4,4,3,2,1,5,2,5,5,1,2,4,5,2,1,4,4,2,2,5,4,2,1,5,5,4,2,5,4,1,4,2,5,5,4,5,5,1,1,1,2,2,2,1,5,5,4,1,5,4,2,2,5
55,4,4,4,5,4,4,5,4,5,5,2,1,5,1,3,2,2,2,1,1,4,1,4,5,1,1,4,1,5,1,1,5,2,1,1,4,1,5,1,2,4,1,5,5,1,4,2,4,5,5,2,5,4,1,2,5,5,1,1,3
56,4,5,2,2,2,1,5,2,2,5,4,4,4,5,5,2,1,4,5,4,1,1,2,2,1,4,4,2,2,1,5,5,5,5,4,2,2,4,5,4,2,1,4,2,2,4,3,1,1,1,5,5,4,5,2,2,5,4,4,4
57,4,5,1,5,1,2,5,1,3,4,1,1,5,2,4,4,1,4,2,4,3,1,2,5,1,1,5,2,5,1,2,4,4,1,4,4,1,4,1,4,3,2,5,5,1,3,1,1,2,1,3,5,4,1,1,4,5,1,1,4
58,5,5,1,5,1,5,5,1,5,5,1,1,5,1,4,2,1,5,1,5,1,1,1,5,1,1,5,1,5,1,4,5,5,1,5,2,1,5,1,5,4,1,5,5,1,2,1,1,2,1,2,5,5,1,1,4,4,2,1,5
59,1,5,4,4,5,1,5,4,5,5,1,1,4,1,5,5,1,5,2,5,1,1,1,5,1,1,5,5,5,1,5,5,2,4,2,3,1,5,1,5,3,1,2,4,1,4,1,2,5,5,5,5,5,3,1,5,5,3,1,5
60,5,5,1,5,5,1,5,1,5,3,1,1,5,1,4,1,5,5,1,1,1,1,1,5,1,1,5,1,5,3,1,5,5,1,3,3,1,5,1,3,5,1,5,5,1,4,1,1,5,5,5,5,5,1,5,5,5,1,1,4
61,4,5,4,2,1,4,5,2,4,4,2,2,4,2,4,2,5,4,4,4,4,4,4,2,2,4,5,4,2,2,2,5,4,5,4,2,3,4,4,4,2,2,4,2,2,5,1,1,1,2,2,5,4,4,2,4,4,4,4,4
62,4,5,2,4,2,3,5,3,4,4,2,2,5,2,4,2,2,4,3,4,4,2,4,4,3,4,5,2,5,2,2,5,4,4,4,4,2,4,2,4,3,4,5,5,2,4,2,2,4,2,3,5,4,2,3,4,2,4,2,4
63,4,5,2,2,2,4,5,2,4,4,2,2,5,4,4,2,2,4,4,5,4,2,2,4,1,2,4,2,4,1,2,4,4,4,5,2,1,4,4,4,3,1,4,4,1,5,2,2,2,1,4,5,5,2,2,4,4,1,4,4
64,4,4,2,4,4,4,4,4,5,4,2,2,4,2,4,2,1,4,2,2,3,1,4,4,2,4,5,2,4,4,2,4,4,1,2,2,2,3,2,4,3,4,4,4,2,4,1,1,1,4,4,4,4,3,2,4,3,2,1,2
65,4,5,1,5,1,4,5,3,4,5,2,2,5,2,4,1,1,4,2,5,4,1,1,5,1,3,3,2,5,1,1,5,5,1,5,2,1,5,1,4,4,4,5,5,1,5,2,1,4,1,1,5,5,1,1,5,4,3,2,5
66,4,5,1,3,2,2,5,3,2,4,1,1,5,2,2,4,5,5,4,4,1,1,4,4,2,1,5,2,4,4,4,5,5,5,4,3,1,5,3,2,4,1,5,4,2,3,1,1,1,3,4,5,5,3,2,4,5,2,2,2
67,5,2,2,4,1,5,5,2,4,5,1,4,4,2,4,2,4,4,2,5,5,2,2,5,1,2,2,2,5,1,1,2,2,2,5,1,2,5,2,5,2,5,4,4,1,5,5,4,2,1,1,5,5,2,1,4,1,2,1,4
68,2,1,1,5,4,5,3,1,5,5,3,5,5,2,5,5,1,4,5,2,5,5,1,3,1,1,1,1,4,1,5,3,4,1,4,1,5,5,1,5,3,5,5,5,1,3,5,1,4,4,1,3,5,2,1,1,1,4,2,5
69,1,4,4,5,3,1,5,4,4,4,3,1,4,2,3,5,2,3,2,4,1,1,4,5,2,2,3,3,4,2,5,3,3,4,4,3,1,4,2,3,2,1,4,4,2,1,2,1,2,2,5,5,3,2,2,2,4,4,2,3
70,1,5,4,2,3,1,5,4,2,4,4,3,5,2,4,5,1,4,4,5,1,1,4,2,3,4,4,4,4,4,5,5,2,5,5,2,2,4,5,4,1,3,5,4,1,1,1,1,1,1,5,5,4,5,2,2,4,2,2,3
71,4,4,4,5,1,3,5,1,5,5,1,1,5,1,5,1,1,4,2,4,3,1,1,5,1,1,2,2,5,1,1,5,5,1,5,1,1,5,1,5,5,4,5,5,1,3,2,2,4,2,1,4,5,1,1,5,2,1,1,5
72,4,5,2,5,2,4,5,2,4,5,4,2,4,1,4,3,1,3,3,5,4,2,2,5,1,1,4,3,5,2,3,4,3,2,5,2,3,4,2,4,4,3,4,5,2,3,2,2,5,2,1,4,5,2,1,2,4,3,1,4
73,3,5,2,4,2,2,4,2,5,4,2,2,4,1,4,4,1,4,2,5,2,2,2,4,2,2,4,2,4,2,4,4,4,2,4,2,2,4,1,4,4,2,4,4,1,2,1,1,4,1,2,4,4,1,2,2,4,2,2,4
74,2,4,2,4,4,2,5,2,4,4,4,4,5,4,2,5,2,4,5,2,1,1,1,1,1,2,5,2,2,4,4,4,4,4,2,4,2,4,4,3,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,4,2,4,2
75,2,5,3,2,3,1,5,3,4,4,2,1,4,1,4,5,1,3,3,5,2,1,2,4,1,2,5,2,4,3,5,4,3,4,4,3,1,4,2,4,3,1,5,4,2,1,1,3,1,1,3,5,4,2,2,4,5,1,2,4
76,4,4,1,3,4,4,4,3,4,3,4,4,5,2,3,2,1,5,3,3,4,2,1,5,2,2,4,2,4,4,3,4,5,4,4,2,4,5,2,2,2,4,4,4,3,3,3,1,2,2,2,4,5,2,2,2,4,2,2,3
77,4,5,2,2,2,2,5,2,2,5,1,4,5,2,1,4,1,4,4,4,2,1,2,4,2,2,2,2,4,2,4,4,4,5,5,5,4,4,4,5,2,4,5,4,1,4,2,2,1,1,4,5,5,2,2,5,2,2,2,2
