"file","model","chisq","df","cfi","tli","rmsea","srmr_bentler_nomean"
"human_normal","ext",994.22638218938,51,0.892379568020835,0.860726499791669,0.108883126429595,0.0567628273450968
"human_normal","agr",903.288072041829,51,0.874769198002518,0.837936609179728,0.103501303176329,0.0602411590554232
"human_normal","con",1045.11263814637,51,0.897135126239663,0.86688075160427,0.111745812584044,0.0584891146710089
"human_normal","neu",927.970621618586,51,0.931318237116917,0.911117718621893,0.104989322975702,0.0520659528392468
"human_normal","ope",904.842659301482,51,0.899845396886228,0.870388160676295,0.103562466418389,0.0635372376433855
"persona_Gemma2_9b_zero_shot","ext",254.303788065775,51,0.879963640820709,0.844658829297389,0.115272847129516,0.0738329887195973
"persona_Gemma2_9b_zero_shot","agr",355.401756207482,51,0.852883878739157,0.809614431309497,0.141051549517912,0.0725353546392708
"persona_Gemma2_9b_zero_shot","con",580.704959126315,51,0.75115260214224,0.677962191007605,0.186067834830695,0.114111589449064
"persona_Gemma2_9b_zero_shot","neu",469.96676182562,51,0.815814104781841,0.761641782658853,0.165479450341529,0.0962001067860386
"persona_Gemma2_9b_zero_shot","ope",313.753098375283,51,0.771557739866524,0.704368839827267,0.131047339242609,0.103478905497687
"persona_Gemma2_27b_zero_shot","ext",353.265631207623,51,0.859624724263386,0.8183378784585,0.140555766898201,0.0734046333406633
"persona_Gemma2_27b_zero_shot","agr",377.812882417592,51,0.863039293538653,0.822756732814728,0.146151698971517,0.0675797462898224
"persona_Gemma2_27b_zero_shot","con",445.890460612032,51,0.83724310363852,0.789373428238084,0.160654393114319,0.0796342762991746
"persona_Gemma2_27b_zero_shot","neu",598.475735751,51,0.743483703164748,0.668037733507321,0.189163230641853,0.117657205325529
"persona_Gemma2_27b_zero_shot","ope",381.297602332237,51,0.823111367040019,0.771085298522377,0.146928821487843,0.102962807211406
"persona_GPT4o_mini_zero_shot","ext",362.973579135494,51,0.874131108014367,0.837110845665651,0.142795062970874,0.0648253430978039
"persona_GPT4o_mini_zero_shot","agr",340.628421612054,51,0.883537307253703,0.849283574093028,0.137586199151173,0.0749141192582204
"persona_GPT4o_mini_zero_shot","con",625.986278585918,51,0.810495230285566,0.754758533310733,0.193857686259677,0.0803188947417115
"persona_GPT4o_mini_zero_shot","neu",477.939993633839,51,0.803263921548185,0.745400369062357,0.167046624471462,0.0764744913176413
"persona_GPT4o_mini_zero_shot","ope",257.95472223011,51,0.898693106183086,0.868896960942817,0.116303277827155,0.0675784319269498
"persona_GPT4o_zero_shot","ext",261.099308875047,51,0.88593738508711,0.852389557171554,0.117183535414431,0.058088505122847
"persona_GPT4o_zero_shot","agr",210.862633682726,51,0.89954432613706,0.869998539706784,0.102218091105233,0.0624133585030387
"persona_GPT4o_zero_shot","con",385.338781598006,51,0.780184386442245,0.715532735395846,0.147824923296385,0.0882821901283962
"persona_GPT4o_zero_shot","neu",304.610842110581,51,0.756161042163134,0.68444370162288,0.128747318548276,0.0911189721482536
"persona_GPT4o_zero_shot","ope",226.648677967103,51,0.909864506419104,0.883354067130605,0.107146188683891,0.0568988893329649
"persona_Llama3_8b_zero_shot","ext",430.845931600977,51,0.55572036108331,0.425049879048989,0.157564372486892,0.166377301078976
"persona_Llama3_8b_zero_shot","agr",588.254078915219,51,0.65501726988368,0.55355176102594,0.187389022305826,0.179118144697338
"persona_Llama3_8b_zero_shot","con",357.786002574315,51,0.782596911133014,0.718654826172136,0.141602869735311,0.117418490685976
"persona_Llama3_8b_zero_shot","neu",540.28910776147,51,0.585580648545929,0.463692604000613,0.178828633741489,0.1500623973353
"persona_Llama3_8b_zero_shot","ope",211.860926015277,51,0.806334037362803,0.749373460116569,0.102536754454539,0.0872807421889154
"persona_Llama3_70b_zero_shot","ext",316.714626625142,51,0.884938688475413,0.851097126262299,0.131783796653711,0.0604504755775783
"persona_Llama3_70b_zero_shot","agr",616.198536167661,51,0.798129077772175,0.738755277116933,0.192200626417481,0.0880049062973343
"persona_Llama3_70b_zero_shot","con",705.359350277684,51,0.767508552064998,0.699128714437056,0.206805669616356,0.108851973234733
"persona_Llama3_70b_zero_shot","neu",346.207358870209,51,0.88419902473407,0.850139914361738,0.138904998538454,0.0593771369493073
"persona_Llama3_70b_zero_shot","ope",256.031881922806,51,0.90448177274385,0.876388176492041,0.115761723364253,0.0770123462564308
"persona_Mistral_7b_zero_shot","ext",188.882104088209,51,0.872934824858221,0.835562714522404,0.0949310393284911,0.0655521151510644
"persona_Mistral_7b_zero_shot","agr",294.949049664176,51,0.817728557901713,0.764119310225746,0.126271066879915,0.0911493745105815
"persona_Mistral_7b_zero_shot","con",415.370748422188,51,0.808939265438904,0.752744931744464,0.154321358198473,0.102658240074956
"persona_Mistral_7b_zero_shot","neu",530.516335549923,51,0.584536115975538,0.462340855968344,0.177033717026015,0.157704315444116
"persona_Mistral_7b_zero_shot","ope",316.957893297884,51,0.748133590523769,0.674055234795466,0.131844108108777,0.119159153884751
"psi_Gemma2_9b_zero_shot","ext",267.080691839163,51,0.883866259504185,0.849709277005416,0.108940354643948,0.0798771091686614
"psi_Gemma2_9b_zero_shot","agr",257.857899118917,51,0.9141432676075,0.888891287492059,0.106590097311571,0.0671686746160105
"psi_Gemma2_9b_zero_shot","con",330.247361454983,51,0.848280735758237,0.803657422745954,0.123844106168916,0.0868954718780878
"psi_Gemma2_9b_zero_shot","neu",611.37293088986,51,0.78680076214207,0.724095103948561,0.175436267145189,0.0939936554585985
"psi_Gemma2_9b_zero_shot","ope",380.815776733762,51,0.748392346519392,0.674390095495684,0.134591154062166,0.105152431730463
"psi_Gemma2_27b_zero_shot","ext",290.204963951046,51,0.900428068068483,0.871142205735684,0.114621449916523,0.0573744970817609
"psi_Gemma2_27b_zero_shot","agr",347.314625552507,51,0.899871782995351,0.870422307405748,0.127572582702732,0.0654072562220095
"psi_Gemma2_27b_zero_shot","con",354.742755429271,51,0.861364777649538,0.820589712252343,0.129161704639864,0.0752201613850523
"psi_Gemma2_27b_zero_shot","neu",478.336623595085,51,0.83556693582723,0.787204269894063,0.15320250309019,0.0818713436674709
"psi_Gemma2_27b_zero_shot","ope",471.556897125564,51,0.83085145358461,0.781101881109496,0.15198235992592,0.116254665353473
"psi_GPT4o_mini_zero_shot","ext",369.694873981006,51,0.897984940324912,0.86798051100871,0.132302589027926,0.0627770957188991
"psi_GPT4o_mini_zero_shot","agr",212.854513628941,51,0.948143084492632,0.932891050519876,0.0942851315660855,0.0462661069249635
"psi_GPT4o_mini_zero_shot","con",396.47124282336,51,0.882424833044529,0.847843901587037,0.137748460902431,0.05617542434187
"psi_GPT4o_mini_zero_shot","neu",539.53552356717,51,0.872080537292469,0.834457165907901,0.163805650308706,0.0704246894113354
"psi_GPT4o_mini_zero_shot","ope",307.850251849302,51,0.91446759943687,0.88931101103595,0.118773841162982,0.0667727445392285
"psi_GPT4o_zero_shot","ext",376.668531507315,51,0.895192042095643,0.864366172123773,0.133742273585419,0.054762397282923
"psi_GPT4o_zero_shot","agr",182.955839406172,51,0.957412695691938,0.944887017954273,0.085132445833961,0.0447554530480673
"psi_GPT4o_zero_shot","con",411.654302502476,51,0.883464121594606,0.849188863240078,0.140742856988916,0.0569258741036819
"psi_GPT4o_zero_shot","neu",541.927747503468,51,0.873866339949966,0.836768204641132,0.16420621612452,0.0694966800077712
"psi_GPT4o_zero_shot","ope",350.639333748923,51,0.908510149221283,0.881601369580484,0.128286281023658,0.0685543475857415
"psi_Llama3_8b_zero_shot","ext",275.953112154364,51,0.898864914341029,0.86911930091192,0.111154437902561,0.0545673608561277
"psi_Llama3_8b_zero_shot","agr",241.972216292817,51,0.898002513614408,0.868003252912764,0.102415549149945,0.0709256275819399
"psi_Llama3_8b_zero_shot","con",437.070314759157,51,0.805073479329791,0.747742149720906,0.145617646871961,0.113651234486515
"psi_Llama3_8b_zero_shot","neu",522.249290182971,51,0.814407351931619,0.75982127897033,0.16088151912056,0.0811521331260108
"psi_Llama3_8b_zero_shot","ope",318.777414978204,51,0.888802588851867,0.856097467925946,0.121274020677533,0.0699648636084526
"psi_Llama3_70b_zero_shot","ext",367.868622540215,51,0.815460451105453,0.761184113195292,0.131922970541695,0.0737305103672531
"psi_Llama3_70b_zero_shot","agr",295.614532831335,51,0.9237016318713,0.901260935362858,0.115910273769866,0.0481202044175819
"psi_Llama3_70b_zero_shot","con",467.824049280492,51,0.850193216238889,0.806132397485621,0.151306361576696,0.0624579381642598
"psi_Llama3_70b_zero_shot","neu",525.422790681108,51,0.854887919390197,0.812207895681432,0.161422316656913,0.0647230331260158
"psi_Llama3_70b_zero_shot","ope",408.647888084167,51,0.85290507686572,0.809641864179167,0.140155013100739,0.116750609038509
"psi_Mistral_7b_zero_shot","ext",395.980719811447,51,0.828329541490754,0.777838230164505,0.137650633958744,0.0792028435483896
"psi_Mistral_7b_zero_shot","agr",298.884919908642,51,0.907985345579822,0.880922211926829,0.116682535443305,0.0610913105693195
"psi_Mistral_7b_zero_shot","con",501.679656160343,51,0.810841597568837,0.755206773324377,0.157331173160383,0.0922585693188053
"psi_Mistral_7b_zero_shot","neu",431.937268060778,51,0.84098133892113,0.794211144486168,0.144646368710552,0.0664677876211171
"psi_Mistral_7b_zero_shot","ope",455.749671886808,51,0.722196871074913,0.640490068449887,0.149098768574759,0.114104675157426
"shape_Gemma2_9b_zero_shot","ext",1084.51760027664,51,0.694741540986026,0.604959641276034,0.259904155320229,0.113135556355724
