,Item,Item,Item,Item,Facet,Facet,Facet,Facet,Domain,Domain,Domain,Domain
,MAE M,r M,MAE SD,r SD,MAE M,r M,MAE SD,r SD,MAE M,r M,MAE SD,r SD
file,,,,,,,,,,,,
PSI_dataset_scored_unreversed.json,0.12783333333333335,0.9813755923258944,0.11850000000000002,0.9574342327337451,0.11799999999999994,0.9886153901127139,0.11333333333333331,0.940172008191834,0.10000000000000009,0.9915173215997811,0.09,0.9579488934071324
human_normal.json,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,0.9999999999999998
persona_GPT4o_mini_zero_shot.json,0.3324999999999999,0.79725148515112,0.43600000000000005,0.0022784337382906056,0.20933333333333332,0.9101748030400687,0.3313333333333333,0.2167643380936945,0.20599999999999996,0.9139932551611893,0.246,-0.04776829833900656
persona_GPT4o_zero_shot.json,0.48449999999999993,0.4999776635197353,0.4356666666666667,-0.13055697509817316,0.42466666666666664,0.6359611333176065,0.36400000000000005,-0.23931836243514787,0.42400000000000004,0.687969556156524,0.3,-0.6417914139368825
persona_Gemma2_27b_zero_shot.json,0.4193333333333333,0.6766150995789615,0.5941666666666667,-0.2355268731969303,0.37399999999999994,0.7447315979648677,0.4746666666666667,-0.11063252846942073,0.35200000000000004,0.7261328861101879,0.386,-0.816676527635484
persona_Gemma2_9b_zero_shot.json,0.5123333333333334,0.6352151895041743,0.6165,-0.4705317156179425,0.4833333333333334,0.7133738326170095,0.48800000000000004,-0.34541365415401604,0.48600000000000004,0.868475863746557,0.406,-0.19117560145630696
persona_Llama3_70b_zero_shot.json,0.5086666666666666,0.5743510755043029,0.26,0.021988347672923826,0.3273333333333332,0.7968971992765491,0.14800000000000002,0.3078386681807448,0.30600000000000016,0.7993680505858984,0.05799999999999998,0.7581980977722029
persona_Llama3_8b_zero_shot.json,0.7758333333333333,0.06525488512197815,0.4485,0.04609356358877743,0.652,0.27611795968882635,0.5346666666666666,-0.0057127625140148824,0.5680000000000001,0.3059040860828638,0.47800000000000004,-0.11929196715492338
persona_Mistral_7b_zero_shot.json,0.42300000000000004,0.6837589241186857,0.463,-0.09586444929429791,0.30933333333333335,0.8018984946175172,0.4146666666666667,-0.32813094176392354,0.2819999999999999,0.8917795761253732,0.358,-0.41607609266154316
psi_GPT4o_cot.json,0.4066666666666666,0.729223002914898,0.3123333333333333,0.2182450652734747,0.35533333333333333,0.7422016868920992,0.21933333333333332,0.4348955201324233,0.3500000000000001,0.702829065491358,0.156,0.6492636279435048
psi_GPT4o_mini_cot.json,0.5756666666666667,0.5359613964009102,0.21233333333333335,0.05722693530695769,0.3353333333333334,0.752108338488298,0.15400000000000003,0.19072404978089819,0.31399999999999995,0.7190422421279968,0.09000000000000001,0.39651442611103455
psi_GPT4o_mini_one_shot.json,0.5166666666666666,0.6278711925231132,0.4313333333333333,0.22728939661284098,0.4826666666666667,0.699120282433685,0.4473333333333333,0.5117831233226815,0.47200000000000014,0.6447061781370373,0.404,0.5568242526352933
psi_GPT4o_mini_zero_shot.json,0.45249999999999996,0.6984426264187351,0.40016666666666667,0.033713777206784735,0.4033333333333333,0.7001730676686727,0.2686666666666666,0.4784656550160807,0.4040000000000001,0.6457756614028256,0.196,0.6936724459999315
psi_GPT4o_one_shot.json,0.383,0.7328089889338265,0.39100000000000007,0.30175262819830057,0.2960000000000001,0.8664796889753055,0.27599999999999997,0.6879827179844209,0.24800000000000005,0.8864425150545184,0.20400000000000001,0.889387075002624
psi_GPT4o_zero_shot.json,0.4738333333333334,0.6794911950914733,0.3395,0.27164274648544634,0.4033333333333334,0.7092572420765302,0.218,0.5077931123597849,0.376,0.670268702146374,0.15,0.6380966111793325
psi_Gemma2_27b_cot.json,0.5055,0.6408463849728268,0.36666666666666675,0.21617885362608108,0.47200000000000003,0.6369849964487735,0.30066666666666664,0.18251619839068345,0.4600000000000001,0.5733867255722676,0.24400000000000005,0.08718512794901583
psi_Gemma2_27b_one_shot.json,0.5368333333333334,0.6260525692490171,0.4876666666666666,0.24831013320165812,0.5106666666666666,0.6988365152903475,0.4873333333333333,0.48478778088314306,0.4920000000000001,0.6723433646786972,0.442,0.6923818189540286
psi_Gemma2_27b_zero_shot.json,0.6251666666666666,0.4540866311938422,0.4786666666666667,0.1926417517277606,0.594,0.4656044598237453,0.3833333333333334,0.3995486177331788,0.5640000000000002,0.39629585781621335,0.306,0.37119004391746707
psi_Gemma2_9b_cot.json,0.8161666666666668,0.1664711824499981,0.2835,0.3408031740786167,0.5853333333333333,0.49269931797390853,0.30600000000000005,0.21750612965949684,0.5640000000000002,0.4520611884917794,0.266,0.36781987395869886
psi_Gemma2_9b_one_shot.json,0.5396666666666667,0.6771112245224307,0.541,0.11434318853776193,0.5053333333333333,0.7077484345796937,0.5126666666666666,0.47010886188875156,0.4860000000000001,0.6739420137926706,0.454,0.5615034480355897
psi_Gemma2_9b_zero_shot.json,0.6799999999999999,0.30042891136663485,0.49816666666666676,0.08654341781697383,0.6479999999999999,0.3034776091299042,0.44533333333333336,0.12342339006251633,0.6440000000000001,0.1375082644367268,0.372,0.43549319076922793
psi_Llama3_70b_cot.json,0.514,0.6468529047830116,0.30983333333333335,0.024237217027856306,0.4626666666666666,0.6739349523670831,0.31799999999999995,0.12236996534066708,0.438,0.6589508861184992,0.28800000000000003,0.2783550074816338
psi_Llama3_70b_one_shot.json,0.5365,0.6322709485399552,0.3563333333333334,0.23975875912621586,0.5139999999999999,0.6909010701841527,0.434,0.5716814249817377,0.496,0.6526572058990225,0.418,0.6543281322734903
psi_Llama3_70b_zero_shot.json,0.655,0.5042771632754115,0.3600000000000001,0.13004717333762347,0.5286666666666666,0.5750836412192397,0.2666666666666667,0.1660847211979013,0.4820000000000001,0.5465095904298674,0.20400000000000001,0.49616963505820444
psi_Llama3_8b_cot.json,0.6168333333333333,0.5248360176826609,0.49849999999999994,0.23354529152223008,0.5213333333333333,0.6314869637805227,0.394,0.471161305020985,0.5200000000000001,0.5809106103698576,0.31999999999999995,0.3539156329382014
psi_Llama3_8b_one_shot.json,0.5878333333333334,0.44008121345219475,0.5734999999999999,-0.07663875211828701,0.5106666666666666,0.7087442003589853,0.5186666666666667,0.5021926592191126,0.4960000000000001,0.663069111153161,0.454,0.6830984268688277
psi_Llama3_8b_zero_shot.json,0.6350000000000001,0.5052698593385179,0.5318333333333333,0.08320546201270917,0.5446666666666665,0.6134220712820163,0.4353333333333334,0.5409565861947198,0.5420000000000001,0.5618023047575392,0.358,0.5083364933834171
psi_Mistral_7b_cot.json,0.49216666666666664,0.5178392447095836,0.23716666666666664,0.26338250355483267,0.3493333333333332,0.7485274674017116,0.19066666666666665,0.4723797405385405,0.316,0.7429497659960734,0.146,0.7154330281425655
psi_Mistral_7b_one_shot.json,0.5388333333333333,0.5983062684559206,0.5091666666666667,0.11854445192463683,0.508,0.667656396916708,0.49800000000000005,0.5416772281079201,0.48600000000000004,0.6314709824140134,0.446,0.6274342731930145
psi_Mistral_7b_zero_shot.json,0.5076666666666666,0.5478611543251969,0.43499999999999994,0.026601200977534684,0.31533333333333324,0.7902451492071183,0.32599999999999996,0.485392219372469,0.292,0.8096402118145182,0.25999999999999995,0.7495432167061856
shape_GPT4o_mini_zero_shot.json,0.41500000000000004,0.816246565757736,0.1753333333333333,0.10288983338902721,0.38599999999999995,0.8869428108173849,0.16933333333333334,-0.5438414500780976,0.30800000000000016,0.9188201659258123,0.18400000000000002,-0.9074424244725154
shape_GPT4o_zero_shot.json,0.5758333333333334,0.377208963422136,0.16183333333333336,-0.055634289884068454,0.504,0.8223743545234021,0.1753333333333334,-0.40582912314738195,0.4579999999999999,0.8446889084869416,0.20800000000000002,-0.7663378270298459
shape_Gemma2_27b_zero_shot.json,0.5291666666666667,0.6941705967189314,0.20133333333333336,-0.23231182886656584,0.4706666666666667,0.8209677066819101,0.19133333333333333,-0.43755698238382923,0.43600000000000005,0.8470394390294043,0.19399999999999998,-0.6633860341380786
shape_Gemma2_9b_zero_shot.json,0.5848333333333334,0.5366076695148378,0.21483333333333332,-0.2799059584669501,0.5153333333333332,0.7223898291857507,0.2226666666666667,-0.613260618454734,0.47400000000000003,0.751284160473455,0.21400000000000002,-0.6506120454877343
shape_Llama3_70b_zero_shot.json,0.6341666666666668,0.4344320397109496,0.2511666666666666,-0.25728943798134823,0.5246666666666665,0.7716638608582137,0.2946666666666667,-0.5656860277371638,0.4640000000000001,0.8030008724964772,0.31599999999999995,-0.6260711035502631
shape_Llama3_8b_zero_shot.json,0.8896666666666666,0.01489660567668567,0.22933333333333333,-0.08765453346664817,0.8193333333333332,0.09408794655068778,0.2859999999999999,-0.36104515332002174,0.7540000000000001,0.09771473120232779,0.22800000000000004,-0.852051932952098
shape_Mistral_7b_zero_shot.json,0.3981666666666667,0.7677540681356212,0.25283333333333335,0.1725316438646833,0.3079999999999999,0.9001738640531576,0.18133333333333332,-0.21999136263135896,0.24800000000000014,0.9290101933635689,0.13400000000000004,-0.4416228046183802
