model_file,label,Items_SD_Pearson_r,Items_SD_Pearson_p,Items_SD_Spearman_rho,Items_SD_Spearman_p,Items_SD_RMSE,Items_SD_MAE,Items_dims_used,Facets_SD_Pearson_r,Facets_SD_Pearson_p,Facets_SD_Spearman_rho,Facets_SD_Spearman_p,Facets_SD_RMSE,Facets_SD_MAE,Facets_dims_used,Domains_SD_Pearson_r,Domains_SD_Pearson_p,Domains_SD_Spearman_rho,Domains_SD_Spearman_p,Domains_SD_RMSE,Domains_SD_MAE,Domains_dims_used
persona_Mistral_7b_zero_shot.json,Mistral-7B-Instruct+Persona,-0.09558201744243373,0.46755294779107737,-0.02634065018060573,0.841655494943784,0.5309947270221044,0.4642590611759752,60,-0.3344212321951213,0.22310705819920904,-0.2642857142857143,0.3411737579900821,0.45976841209506036,0.4149961927327401,15,-0.41007865386125414,0.4928988640605022,-0.19999999999999998,0.747060078104662,0.38970235774362355,0.35870397756345673,5
shape_Mistral_7b_zero_shot.json,Mistral-7B-Instruct+Shape,0.17376615472644005,0.18424435444868126,0.26807446512920263,0.038369502185120155,0.3038811364740747,0.2524060958329351,60,-0.22220602148273963,0.4260513644376448,-0.28571428571428564,0.3019363513225493,0.20765505846896093,0.18188873344076048,15,-0.45192694365153274,0.4448243028592708,-0.39999999999999997,0.5046315754686911,0.16625094553972508,0.1338984218145654,5
psi_Mistral_7b_zero_shot.json,Mistral-7B-Instruct+PSI,0.028184774114345286,0.8307278278350179,0.11964434565156992,0.3625365750538506,0.5132095082322305,0.4349555800338438,60,0.47581640338806874,0.07300786194780974,0.42499999999999993,0.11429547548052224,0.35411727579398694,0.3277550455265814,15,0.720126202529453,0.17007777008856356,0.8999999999999998,0.03738607346849874,0.27020555969596644,0.2592154293941527,5
persona_Gemma2_9b_zero_shot.json,Gemma-2-9B-IT+Persona,-0.47072606306219683,0.00014729296037322489,-0.3346485134759656,0.008962785342224703,0.6747908546605744,0.6168864084869553,60,-0.3582298326788913,0.18983000817586365,-0.21428571428571427,0.44314093482351424,0.5290984533154316,0.4895583299259062,15,-0.241659965923404,0.6953306084827734,-0.09999999999999999,0.8728885715695383,0.42843052570773116,0.4064599450149863,5
shape_Gemma2_9b_zero_shot.json,Gemma-2-9B-IT+Shape,-0.27370704288610215,0.03433466357305217,-0.1952764656849125,0.13485648635341438,0.2816511037328043,0.21408860637118324,60,-0.6247290767252476,0.012777681243868789,-0.5785714285714285,0.02384665876299661,0.2728441604439069,0.22394502789185086,15,-0.6449003340216796,0.24002323789504626,-0.8999999999999998,0.03738607346849874,0.2807649819028312,0.2101640100868929,5
psi_Gemma2_9b_zero_shot.json,Gemma-2-9B-IT+PSI,0.08870001671987168,0.5003466199188991,0.14048346762989722,0.2843450609650918,0.5504315866156655,0.4994317966873514,60,0.11675059716998873,0.6786051467324254,0.15357142857142855,0.5847640949410158,0.4825887702892458,0.44663568052401353,15,0.41247560188376364,0.4901170365965729,0.39999999999999997,0.5046315754686911,0.3891952624759817,0.3731003555950404,5
persona_Gemma2_27b_zero_shot.json,Gemma-2-27B-IT+Persona,-0.23541371312579895,0.07018910174049861,-0.28922324569678765,0.025005079399784934,0.6415910496824442,0.5944577694175195,60,-0.12343928587863412,0.6611790622420175,-0.36428571428571427,0.18191025904581395,0.4992604817157309,0.47473692551113245,15,-0.8291218029388225,0.082586026358485,-0.39999999999999997,0.5046315754686911,0.40570056471901755,0.38413464540295117,5
shape_Gemma2_27b_zero_shot.json,Gemma-2-27B-IT+Shape,-0.22984432728657433,0.07728677799176983,-0.15848846901917205,0.22647708996338725,0.2619381222633649,0.20092909170217396,60,-0.440897947149382,0.09996810370407325,-0.42499999999999993,0.11429547548052224,0.2407333876640142,0.19250904602917823,15,-0.6663874091658768,0.219367101849898,-0.7999999999999999,0.10408803866182788,0.2434446894529504,0.19115914966423214,5
psi_Gemma2_27b_zero_shot.json,Gemma-2-27B-IT+PSI,0.1923848898781501,0.1408441665079582,0.2338983050847458,0.07206665082008716,0.5259828075823606,0.4798429231796606,60,0.3841332889266593,0.15747772635639593,0.33571428571428563,0.22121153763932594,0.4048407806696388,0.3831196377951234,15,0.3544455472766202,0.5583419714254831,0.19999999999999998,0.747060078104662,0.32383963101905183,0.30699244316456087,5
persona_Llama3_8b_zero_shot.json,Llama3-8B-Instruct+Persona,0.05000944640707576,0.7043460500112122,0.1348152264517922,0.3044182720556648,0.49519721327032595,0.4485336246666237,60,-0.004972048048362862,0.9859691580170719,0.021428571428571425,0.9395779040128779,0.555585686555707,0.5350327862291292,15,-0.11573499799748693,0.8529712554795156,0.0,1.0,0.49428822275574574,0.47771691537257716,5
shape_Llama3_8b_zero_shot.json,Llama3-8B-Instruct+Shape,-0.08949163712566462,0.49651497895720276,0.006335093081411504,0.9616846729076869,0.2826318327798339,0.22990239446343938,60,-0.3582969485852636,0.18974103317149163,-0.3928571428571428,0.14746665531132622,0.32998339093087947,0.284418812616282,15,-0.8495778934208676,0.06843073850586076,-0.8999999999999998,0.03738607346849874,0.28170782540620115,0.2278551502180402,5
psi_Llama3_8b_zero_shot.json,Llama3-8B-Instruct+PSI,0.07866552184398305,0.550207355632818,0.15432064462350656,0.23908173265386987,0.580397943763706,0.5322730292208437,60,0.5322960320666933,0.04108935697044206,0.43214285714285705,0.10769303754639799,0.45083786642669815,0.43575740537842067,15,0.5298836382053449,0.3583878822272693,0.6,0.28475697986529375,0.36900404125576836,0.35685110630602274,5
persona_Llama3_70b_zero_shot.json,Llama3-70B-Instruct+Persona,0.030020811025776598,0.8198796554092866,0.042400666851903315,0.7477027728500016,0.2984835145496059,0.2597465874010306,60,0.29246769857802324,0.29014329495541197,0.33928571428571425,0.2160289253419548,0.17433280094268794,0.15041751399672385,15,0.7345181442097269,0.15750230089748304,0.8999999999999998,0.03738607346849874,0.09567112847143353,0.05705575969902961,5
shape_Llama3_70b_zero_shot.json,Llama3-70B-Instruct+Shape,-0.25013438043345193,0.05391265556462037,-0.20916921367046407,0.10872887187784805,0.32812036488840574,0.25118138818981744,60,-0.5749278304903829,0.024958628153934476,-0.5035714285714286,0.05565451716115848,0.335520246256434,0.294995207183643,15,-0.6223044821671613,0.2622800280890339,-0.7999999999999999,0.10408803866182788,0.3658014027588688,0.3161469440939483,5
psi_Llama3_70b_zero_shot.json,Llama3-70B-Instruct+PSI,0.12468886640566793,0.3425037764689293,0.07735589547697733,0.556886165575094,0.41054806927086646,0.3605618300732592,60,0.16113780925688947,0.5661621057082418,0.2642857142857143,0.3411737579900821,0.3100558602360333,0.26734352640777226,15,0.4862560200038901,0.4062257126860203,0.3,0.6238376647810728,0.226673376351472,0.2051690696611724,5
persona_GPT4o_mini_zero_shot.json,GPT4o-mini+Persona,0.0015543023391821273,0.9905961022088886,-0.030119896083708124,0.8192951483457813,0.49149118000763503,0.43655453399188837,60,0.20734016987409692,0.45840541779451227,0.18928571428571428,0.49926303323854526,0.3606263233112452,0.33086679918599204,15,-0.04882565573291406,0.9378579535142457,0.3,0.6238376647810728,0.2779414288275934,0.24746315492687723,5
shape_GPT4o_mini_zero_shot.json,GPT4o-mini+Shape,0.10069639732169725,0.443954915434505,0.0943595443178661,0.4732920558653605,0.2254978047323627,0.17556163973074615,60,-0.5561527714770785,0.031324505599799615,-0.6107142857142855,0.01559283142117561,0.20275887577927798,0.17071665944920303,15,-0.9083650759228039,0.03283704583554206,-0.9999999999999999,1.4042654220543672e-24,0.21395491716021464,0.18020117798069457,5
psi_GPT4o_mini_zero_shot.json,GPT4o-mini+PSI,0.030088641389839865,0.8194795106021073,0.03656571269797167,0.7814949622047527,0.453875590878295,0.4005154320621739,60,0.4635891609947649,0.08176928122522005,0.39642857142857135,0.1434945314423536,0.2946407857321305,0.2689491331363808,15,0.6854020270194137,0.2015251665036646,0.49999999999999994,0.39100221895577053,0.21420698124856433,0.19710947982700586,5
persona_GPT4o_zero_shot.json,GPT4o+Persona,-0.13029608007387902,0.3210627711808839,-0.11603384321546598,0.377304023713116,0.4818035251438729,0.4360901243457594,60,-0.2558055978649387,0.35745607528967327,-0.3928571428571428,0.14746665531132622,0.4076783270818774,0.36515576407025063,15,-0.6141943182295687,0.2703961623789368,-0.3,0.6238376647810728,0.33395118907492316,0.2999920080616162,5
shape_GPT4o_zero_shot.json,GPT4o+Shape,-0.0488941248533579,0.710647016120823,-0.012420289252230194,0.9249606715277827,0.21337121872846604,0.161291079187437,60,-0.40674730128175707,0.13242506721630073,-0.41785714285714276,0.1211725360218785,0.2104903180471587,0.17656660601134816,15,-0.7851145581645068,0.1156445956600072,-0.8999999999999998,0.03738607346849874,0.24494169620615874,0.2073587311631191,5
psi_GPT4o_zero_shot.json,GPT4o+PSI,0.27004715551747616,0.036913916300666656,0.26701861628230067,0.03916789819585019,0.3882817365356864,0.3402842077295809,60,0.4986179531947361,0.05850445537855948,0.39642857142857135,0.1434945314423536,0.2467379962838566,0.21920553908558157,15,0.6438471860065735,0.24104864575363324,0.49999999999999994,0.39100221895577053,0.16906066432883915,0.14704117821107276,5
PSI_dataset_scored.json,PSI_dataset_scored.json+PSI,0.9569506246321252,7.544946632669493e-33,0.9604334537371494,6.855000170024148e-34,0.12905151601897058,0.11815411611952263,60,0.9411277173626822,1.7221850680556377e-07,0.9392857142857142,2.0945801936685517e-07,0.12342231390128301,0.11393037264078908,15,0.9522137440590012,0.01244946401248062,0.9999999999999999,1.4042654220543672e-24,0.0960170399167855,0.08970587009684891,5
PSI_dataset_scored_unreversed.json,PSI_dataset_scored_unreversed.json+PSI,0.9569506246321252,7.544946632669493e-33,0.9604334537371494,6.855000170024148e-34,0.12905151601897058,0.11815411611952263,60,0.9411277173626822,1.7221850680556377e-07,0.9392857142857142,2.0945801936685517e-07,0.12342231390128301,0.11393037264078908,15,0.9522137440590012,0.01244946401248062,0.9999999999999999,1.4042654220543672e-24,0.0960170399167855,0.08970587009684891,5
